291.2201,652.4623,2500,19782,4.452464,0.7181135,0.2389929,0.85996,19.99273,0.1433194
291.1677,652.4523,2501,19782,4.460178,0.7184052,0.2020079,0.8265772,20.40293,0.1372723
291.1068,652.3306,2502,19782,4.467271,0.7042125,0.2650608,0.7660999,20.78175,0.1356697
291.1366,652.3127,2503,19782,4.460258,0.7201194,0.1752491,0.7830662,20.56091,0.1344554
291.0938,652.1962,2504,19782,4.475798,0.7014884,0.2656269,0.7508396,20.85938,0.1366273
291.1483,652.3214,2505,19782,4.511115,0.7214366,0.213921,1.055895,20.78843,0.1609309
291.1435,652.2908,2506,19782,4.502172,0.7194752,0.2770427,0.9532139,20.80739,0.1667485
291.2436,652.2289,2507,19782,4.440517,0.7116245,0.2559555,0.6799927,20.18657,0.1736101
291.0633,652.2773,2508,19782,4.495512,0.7131262,0.2962398,0.8607649,20.49104,0.1497483
291.0908,652.2693,2509,19782,4.447495,0.6980653,0.2257762,0.7180824,20.48005,0.1579174
291.1429,652.3477,2510,19782,4.501183,0.6962174,0.2508876,0.9267679,20.3143,0.1536198
291.1932,652.1298,2511,19782,4.465013,0.7001431,0.2282711,0.7077762,20.26639,0.1414008
290.8402,652.1908,2512,19782,4.488525,0.7073874,0.2560863,0.9719275,20.47479,0.1500231
290.9012,652.2042,2513,19782,4.434129,0.7043558,0.2499779,0.7928601,20.55149,0.1601959
290.8886,652.0372,2514,19782,4.463978,0.7154663,0.2771217,0.9035278,20.46044,0.1589021
291.0462,652.5373,2515,19782,4.426168,0.7151797,0.189159,0.6618407,20.18859,0.1459473
291.0207,652.5066,2516,19782,4.414532,0.7251967,0.2614688,0.7825582,20.01444,0.1308033
291.0744,652.4203,2517,19782,4.500174,0.6996103,0.2543118,0.9117075,20.57298,0.1308177
291.1532,652.5652,2518,19782,4.493491,0.7154873,0.2341039,0.9548798,20.08619,0.1437648
291.1216,652.733,2519,19782,4.4394,0.7167643,0.2094668,0.8034126,20.50535,0.1239098
290.861,652.9829,2520,19782,4.47465,0.7113885,0.2384364,0.9685338,20.87841,0.1565867
290.7925,652.7887,2521,19782,4.580462,0.6886073,0.2552029,1.10506,20.80215,0.1315455
291.014,652.7335,2522,19782,4.491551,0.7312672,0.251777,1.038133,20.61879,0.1522669
290.8914,652.5303,2523,19782,4.452906,0.714618,0.1946761,0.8121599,19.88811,0.1524534
290.9972,652.8524,2524,19782,4.422507,0.7370475,0.2162799,0.842709,20.54744,0.1648112
290.8745,652.7568,2525,19782,4.494145,0.7135192,0.2027288,0.8712369,20.73945,0.1493798
290.8608,652.7386,2526,19782,4.574417,0.7032617,0.2258243,1.109682,20.85645,0.1429109
290.8895,652.4886,2527,19782,4.383354,0.728238,0.1940468,0.5093986,19.97575,0.1214583
291.0308,652.5817,2528,19782,4.495347,0.7310056,0.268349,1.051183,20.52837,0.1281655
290.767,652.6203,2529,19782,4.496193,0.7196397,0.2199586,0.8549343,20.60101,0.1470779
290.6783,652.4161,2530,19782,4.466102,0.6903345,0.2374461,0.7964839,20.50759,0.1245437
290.7998,652.711,2531,19782,4.455689,0.7670386,0.2182691,0.9276875,20.5756,0.1272232
290.9897,652.7241,2532,19782,4.456993,0.7476438,0.2550093,0.9248325,20.65304,0.1351288
291.0499,652.5973,2533,19782,4.532569,0.7245861,0.2123374,1.040156,20.65654,0.1617322
291.1316,652.2657,2534,19782,4.536745,0.7064971,0.2738284,0.9548013,20.62262,0.137897
